col,uid_ini,uid_rec,uid_win,interac_type,sexi,sexr
mm,NA,NA,NA,allogroom,NA,NA
mm,NA,NA,NA,0,NA,NA
mm,NA,20,NA,sniff_ag,NA,F
mm,NA,NA,NA,sex_mount,NA,NA
mm,NA,NA,NA,sex_mount,NA,NA
mm,NA,NA,NA,play_bite,NA,NA
mm,20,NA,NA,greet,F,NA
mm,20,NA,NA,sit_<1m,F,NA
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,NA,NA,sniff_ag,NA,NA
mm,NA,NA,NA,play_grab/slap/push,NA,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,NA,NA,NA,play_mouthspar,NA,NA
mm,NA,NA,NA,greet,NA,NA
mm,NA,NA,NA,play_mouthspar,NA,NA
mm,NA,NA,NA,play_grab/slap/push,NA,NA
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,NA,NA,play_mouthspar,NA,NA
mm,NA,NA,NA,play_box,NA,NA
mm,NA,20,NA,play_mount,NA,F
mm,NA,20,NA,play_wrestle,NA,F
mm,NA,20,20,sit_<1m,NA,F
mm,NA,20,NA,sit_<1m,NA,F
mm,NA,20,NA,sit_bc,NA,F
mm,NA,NA,NA,greet,NA,NA
mm,NA,NA,NA,play_grab/slap/push,NA,NA
mm,NA,NA,NA,play_grab/slap/push,NA,NA
mm,NA,NA,NA,play_wrestle,NA,NA
mm,NA,NA,NA,play_grab/slap/push,NA,NA
mm,NA,NA,NA,play_bite,NA,NA
mm,NA,NA,NA,play_grab/slap/push,NA,NA
mm,NA,NA,NA,play_wrestle,NA,NA
mm,NA,NA,NA,play_pounce,NA,NA
mm,NA,NA,NA,play_bite,NA,NA
mm,NA,NA,NA,play_wrestle,NA,NA
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,20,NA,greet,NA,F
mm,12,15,12,greet,M,M
mm,19,20,20,greet,F,F
mm,NA,20,NA,sit_<1m,NA,F
mm,20,19,NA,sit_bc,F,F
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,19,NA,sit_bc,NA,F
mm,NA,20,NA,sit_<1m,NA,F
mm,NA,20,NA,sit_bc,NA,F
mm,NA,20,NA,greet,NA,F
mm,NA,20,NA,sit_bc,NA,F
mm,19,NA,NA,sit_<1m,F,NA
mm,12,13,NA,play_wrestle,M,M
mm,12,13,NA,play_mouthspar,M,M
mm,12,13,NA,play_grab/slap/push,M,M
mm,12,13,NA,play_mouthspar,M,M
mm,13,12,NA,mount,M,M
mm,13,12,NA,play_wrestle,M,M
mm,13,12,12,play_wrestle,M,M
mm,13,12,NA,play_wrestle,M,M
mm,13,12,NA,play_grab/slap/push,M,M
mm,12,13,NA,mount,M,M
mm,12,13,13,play_wrestle,M,M
mm,13,12,13,play_mouthspar,M,M
mm,12,13,NA,play_grab/slap/push,M,M
mm,12,13,NA,play_wrestle,M,M
mm,12,15,15,sit_bc,M,M
